timestamp,frame,rr_interval,time
2000-01-01_00:03:43.167968+0000,57118,824.21875,2000-01-01_00:03:43.167968+0000
2000-01-01_00:03:44.007812+0000,57333,839.84375,2000-01-01_00:03:44.007812+0000
2000-01-01_00:03:44.839843+0000,57546,832.03125,2000-01-01_00:03:44.839843+0000
2000-01-01_00:03:45.648437+0000,57753,808.59375,2000-01-01_00:03:45.648437+0000
2000-01-01_00:03:46.484375+0000,57967,835.9375,2000-01-01_00:03:46.484375+0000
2000-01-01_00:03:47.320312+0000,58181,835.9375,2000-01-01_00:03:47.320312+0000
2000-01-01_00:03:48.140625+0000,58391,820.3125,2000-01-01_00:03:48.140625+0000
2000-01-01_00:03:48.976562+0000,58605,835.9375,2000-01-01_00:03:48.976562+0000
2000-01-01_00:03:49.820312+0000,58821,843.75,2000-01-01_00:03:49.820312+0000
2000-01-01_00:03:50.644531+0000,59032,824.21875,2000-01-01_00:03:50.644531+0000
2000-01-01_00:03:51.472656+0000,59244,828.125,2000-01-01_00:03:51.472656+0000
2000-01-01_00:03:52.324218+0000,59462,851.5625,2000-01-01_00:03:52.324218+0000
2000-01-01_00:03:53.152343+0000,59674,828.125,2000-01-01_00:03:53.152343+0000
2000-01-01_00:03:53.960937+0000,59881,808.59375,2000-01-01_00:03:53.960937+0000
2000-01-01_00:03:54.781250+0000,60091,820.3125,2000-01-01_00:03:54.781250+0000
2000-01-01_00:03:55.593750+0000,60299,812.5,2000-01-01_00:03:55.593750+0000
2000-01-01_00:03:56.406250+0000,60507,812.5,2000-01-01_00:03:56.406250+0000
2000-01-01_00:03:57.222656+0000,60716,816.40625,2000-01-01_00:03:57.222656+0000
2000-01-01_00:03:58.058593+0000,60930,835.9375,2000-01-01_00:03:58.058593+0000
2000-01-01_00:03:58.878906+0000,61140,820.3125,2000-01-01_00:03:58.878906+0000
2000-01-01_00:03:59.691406+0000,61348,812.5,2000-01-01_00:03:59.691406+0000
2000-01-01_00:04:00.503906+0000,61556,812.5,2000-01-01_00:04:00.503906+0000
2000-01-01_00:04:01.324218+0000,61766,820.3125,2000-01-01_00:04:01.324218+0000
2000-01-01_00:04:02.140625+0000,61975,816.40625,2000-01-01_00:04:02.140625+0000
2000-01-01_00:04:02.953125+0000,62183,812.5,2000-01-01_00:04:02.953125+0000
2000-01-01_00:04:03.785156+0000,62396,832.03125,2000-01-01_00:04:03.785156+0000
2000-01-01_00:04:04.601562+0000,62605,816.40625,2000-01-01_00:04:04.601562+0000
2000-01-01_00:04:05.429687+0000,62817,828.125,2000-01-01_00:04:05.429687+0000
2000-01-01_00:04:06.257812+0000,63029,828.125,2000-01-01_00:04:06.257812+0000
2000-01-01_00:04:07.078125+0000,63239,820.3125,2000-01-01_00:04:07.078125+0000
2000-01-01_00:04:07.910156+0000,63452,832.03125,2000-01-01_00:04:07.910156+0000
2000-01-01_00:04:08.746093+0000,63666,835.9375,2000-01-01_00:04:08.746093+0000
2000-01-01_00:04:09.578125+0000,63879,832.03125,2000-01-01_00:04:09.578125+0000
2000-01-01_00:04:10.406250+0000,64091,828.125,2000-01-01_00:04:10.406250+0000
2000-01-01_00:04:11.222656+0000,64300,816.40625,2000-01-01_00:04:11.222656+0000
